idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
0	0.087142855	0.082	0.0856	0.08914286	0.082666665	0.0872	[0.0, 0.032738097, 0.014285714, 0.09039548, 0.43714285, 0.0, 0.3022599, 0.008695652, 0.0029498525, 0.0]	[0.0, 0.048780486, 0.0, 0.061643835, 0.43333334, 0.0, 0.26712328, 0.019354839, 0.0, 0.0]	[0.0, 0.038, 0.01, 0.082, 0.436, 0.0, 0.292, 0.012, 0.002, 0.0]	0.00011647254	8.062925e-07
10	0.1	0.1	0.1	0.1	0.1	0.1	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00020263647	5.1618554e-06
20	0.1	0.097333334	0.0992	0.09942857	0.09866667	0.0992	[0.0, 0.0, 0.0, 0.0, 0.9942857, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 0.9866667, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 0.992, 0.0, 0.0, 0.0, 0.0, 0.0]	0.0002812359	2.6425114e-05
30	0.1	0.1	0.1	0.1	0.1	0.1	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.0002568846	6.405101e-05
40	0.1	0.1	0.1	0.1	0.1	0.1	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00025692652	8.784828e-05
50	0.1	0.1	0.1	0.1	0.1	0.1	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00022619008	7.5940625e-05
60	0.112	0.10666667	0.1104	0.10171428	0.104666665	0.1026	[0.0, 0.0, 0.0, 0.016949153, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.047945205, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.026, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00017241435	7.300498e-05
70	0.13057142	0.119333334	0.1272	0.11457143	0.10933334	0.113	[0.0, 0.0, 0.0, 0.1440678, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.09589041, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.13, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00021424191	7.1061426e-05
80	0.19428572	0.18	0.19	0.17542857	0.16866666	0.1734	[0.0, 0.0, 0.0, 0.8954802, 0.8485714, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.86986303, 0.84, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.888, 0.846, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00023293635	6.160315e-05
90	0.113714285	0.10933334	0.1124	0.10171428	0.10333333	0.1022	[0.0, 0.0, 0.0, 0.016949153, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.034246575, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.022, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00022182707	6.520108e-05
100	0.12571429	0.114	0.1222	0.10657143	0.10666667	0.1066	[0.0, 0.0, 0.0, 0.06214689, 1.0, 0.0, 0.0028248588, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.06849315, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.064, 1.0, 0.0, 0.002, 0.0, 0.0, 0.0]	0.0002268895	5.826389e-05
110	0.196	0.186	0.193	0.17057143	0.162	0.168	[0.0, 0.0, 0.0, 0.68926555, 0.99714285, 0.0, 0.011299435, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.6369863, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.674, 0.998, 0.0, 0.008, 0.0, 0.0, 0.0]	0.0001561821	4.714157e-05
120	0.18485714	0.16266666	0.1782	0.14771429	0.13666667	0.1444	[0.0, 0.0, 0.0, 0.43502825, 1.0, 0.0, 0.036723163, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.3561644, 1.0, 0.0, 0.020547945, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.412, 1.0, 0.0, 0.032, 0.0, 0.0, 0.0]	0.00015451293	5.2049407e-05
130	0.21	0.196	0.2058	0.19342858	0.19133334	0.1928	[0.0, 0.0, 0.0, 0.98870057, 0.87714285, 0.0, 0.056497175, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 1.0, 0.88666666, 0.0, 0.05479452, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.992, 0.88, 0.0, 0.056, 0.0, 0.0, 0.0]	0.00021092803	1.88977e-05
140	0.19771428	0.18266666	0.1932	0.17142858	0.16733333	0.1702	[0.07225434, 0.0, 0.0, 0.6214689, 1.0, 0.0, 0.014124294, 0.0, 0.0, 0.0]	[0.097402595, 0.0, 0.0, 0.5753425, 1.0, 0.0, 0.01369863, 0.0, 0.0, 0.0]	[0.08, 0.0, 0.0, 0.608, 1.0, 0.0, 0.014, 0.0, 0.0, 0.0]	0.00018090568	2.9013609e-05
150	0.29	0.27266666	0.2848	0.24685714	0.24	0.2448	[1.0, 0.0, 0.0, 0.43502825, 1.0, 0.0, 0.03954802, 0.0, 0.0, 0.0]	[1.0, 0.0, 0.0, 0.34931508, 1.0, 0.0, 0.034246575, 0.0, 0.0, 0.0]	[1.0, 0.0, 0.0, 0.41, 1.0, 0.0, 0.038, 0.0, 0.0, 0.0]	0.00017122366	3.206462e-05
160	0.3822857	0.36266667	0.3764	0.32914287	0.33266667	0.3302	[1.0, 0.2827381, 0.0, 0.9293785, 1.0, 0.0, 0.09039548, 0.0, 0.0, 0.0]	[1.0, 0.2987805, 0.0, 0.8835617, 1.0, 0.0, 0.11643836, 0.0, 0.0, 0.0]	[1.0, 0.288, 0.0, 0.916, 1.0, 0.0, 0.098, 0.0, 0.0, 0.0]	0.00011527492	2.4973415e-06
170	0.41514286	0.41533333	0.4152	0.39457142	0.40333334	0.3972	[1.0, 0.9672619, 0.0, 0.8954802, 1.0, 0.0, 0.121468924, 0.0, 0.0, 0.0]	[1.0, 0.9756098, 0.0, 0.84931505, 1.0, 0.0, 0.11643836, 0.0, 0.0, 0.0]	[1.0, 0.97, 0.0, 0.882, 1.0, 0.0, 0.12, 0.0, 0.0, 0.0]	2.4504909e-05	1.0763528e-05
